==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/scalefree/rmat16p-2e24.gr
INFO: Hostname rack-mad-04
Read 16777216 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 2
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),Work,32,1293749599503,40429723773,40429671701,40429669756,40429674930,40429672315,40429671046,40429670217,40429672809,40429672655,40429673073,40429672758,40429673856,40429675173,40429671253,40429669744,40429674797,40429674685,40429672806,40429671007,40429672739,40429672175,40429672679,40429675686,40429675416,40429675307,40429674790,40429675810,40429675182,40429675698,40429675282,40429675227,40429675158
STAT,(NULL),nBad,32,928289272,25378956,29025322,29045050,29050029,29023053,29050644,29044541,29020208,29075340,29064631,28995503,29036874,29006358,29032873,28842586,28826268,28792370,29019106,29035311,28869461,28818847,28798783,29423279,29352250,29424414,29520274,29459942,29463207,29379578,29410480,29507865,29495869
STAT,(NULL),nEmpty,32,44457097,1171167,1368838,1370166,1385955,1372162,1376641,1378780,1372366,1368914,1377969,1378717,1371996,1371941,1373892,1368276,1361762,1370786,1369287,1371772,1362645,1361672,1367560,1441553,1453612,1444709,1453109,1448423,1450653,1443940,1441541,1453029,1453264
STAT,(NULL),nEmptyPop,32,4780,26,133,165,172,182,105,192,137,168,80,151,132,128,131,180,69,199,148,156,182,149,76,94,197,174,173,162,177,201,238,168,135
STAT,(NULL),nOverall,32,1196575895,32557890,37410882,37447034,37482111,37476865,37480406,37414192,37430188,37467462,37469656,37402596,37454047,37393816,37430181,37182393,37187731,37173922,37441200,37435578,37248616,37199994,37193415,37891326,37820928,37929973,37978602,37959048,37931642,37855150,37900293,37978667,37950091
STAT,(NULL),nPop,32,122885652,3329933,3860314,3861955,3886758,3867387,3876125,3868787,3863446,3861837,3878724,3883818,3859862,3862792,3873276,3852138,3841104,3852708,3859680,3865529,3839898,3842353,3843866,3836081,3849641,3840438,3850792,3840697,3849811,3839933,3835453,3855991,3854525
STAT,(NULL),nPush,32,122882933,3334775,3842498,3842479,3850576,3850595,3846023,3833050,3840254,3844599,3841645,3838802,3845566,3844211,3846316,3820629,3823032,3821902,3841864,3843686,3831491,3818395,3822533,3892826,3882643,3898335,3901719,3897187,3902593,3889323,3899305,3895778,3898303
STAT,(NULL),nPushInit,32,2719,86,88,84,86,88,86,89,88,86,87,88,88,85,80,85,88,86,88,83,87,86,85,87,86,87,81,86,82,82,84,85,62
STAT,(NULL),qPopEmpty,32,9624,54,268,332,346,366,212,386,276,338,162,304,266,258,264,362,140,400,298,314,366,300,154,190,396,350,348,326,356,404,478,338,272
STAT,(NULL),qPopEmptyCyc,32,4671596,64903,148459,193801,193646,195706,121822,189426,148814,179658,92091,165416,152999,138180,155475,203033,81836,204284,169291,177149,184606,166141,85422,67626,143371,126927,126186,120923,132625,147535,175002,120108,99135
STAT,(NULL),qPopFast,32,120965439,3277899,3799993,3801606,3826025,3806954,3815559,3808333,3803076,3801491,3818115,3823128,3799549,3802431,3812752,3791945,3781084,3792505,3799368,3805127,3779895,3782312,3783803,3776138,3789488,3780425,3790619,3780684,3789653,3779929,3775521,3795738,3794294
STAT,(NULL),qPopFastCyc,32,72229443611,2510969132,2248547810,2255702433,2265346153,2246764895,2255756085,2256519029,2253077314,2249340842,2261670805,2262702328,2247658659,2251273646,2253149053,2249727046,2242993045,2250160935,2244900083,2254011492,2238290955,2247308923,2237803444,2239557065,2248344424,2240224293,2247541024,2244286574,2246812691,2241189298,2240678691,2250357217,2246778227
STAT,(NULL),qPopLocal,32,1911926,51699,59916,59966,60371,60046,60221,60085,60000,59945,60249,60313,59963,60000,60158,59817,59676,59811,59934,60006,59622,59684,59729,59926,60139,59994,60155,60000,60142,59987,59918,60238,60216
STAT,(NULL),qPopLocalCyc,32,4971245561,166330704,154634549,155410079,156315582,153995295,156875233,157149733,156388309,155565970,154613878,155257480,153715128,155762083,155701386,156870713,155843276,155485649,155366742,155478930,157882353,156493238,155574036,153987038,153665363,152903661,151769492,155688785,151970024,154316004,154040502,154051112,152143234
STAT,(NULL),qPopRemote,32,8287,335,405,383,362,387,345,369,370,401,360,377,350,361,366,376,344,392,378,396,381,357,334,17,14,19,18,13,16,17,14,15,15
STAT,(NULL),qPopRemoteCyc,32,27516561,1267519,1335106,1244883,1170623,1270113,1122963,1219018,1213016,1316028,1173219,1208897,1161392,1186397,1216544,1269572,1164730,1313637,1248264,1302843,1272469,1197897,1125295,52258,46586,58376,62534,49418,48735,58403,44883,46515,48428
==== BENCHMARK TOOK 29.295
