==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/scalefree/rmat16p-2e27.gr
INFO: Hostname rack-mad-04
Read 134217728 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 0
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),Work,32,2255283900162,70477615342,70477615260,70477615487,70477615590,70477617129,70477615175,70477617053,70477615138,70477615654,70477616816,70477617654,70477615356,70477615539,70477616853,70477629182,70477617035,70477617481,70477614862,70477617657,70477615169,70477617402,70477617626,70477632902,70477633069,70477633066,70477633209,70477632951,70477633026,70477633291,70477632896,70477633018,70477632274
STAT,(NULL),nBad,32,483609395,12754091,15249246,14816812,14761760,14553819,15179282,14773218,14839339,14740806,14993334,15003313,14965599,15140982,14492100,14423480,14770814,14705914,14902047,14742117,14680072,14717020,14910189,15937262,15778613,16275885,16117420,15971625,15896895,15775312,15985895,16013434,15741700
STAT,(NULL),nEmpty,32,102971701,2753385,3230857,3288481,3347928,3276863,3271839,3295537,3267925,3331046,3315244,3159917,3260931,3276195,3281065,3248771,3330847,3236591,3278709,3187005,3216785,3285233,3212961,3142387,3115070,3144315,3173664,3119348,3206607,3152666,3151849,3203596,3208084
STAT,(NULL),nEmptyPop,32,13747,168,401,282,527,520,596,491,535,537,544,462,360,491,493,333,423,608,442,257,523,569,415,154,187,549,411,487,613,414,55,392,508
STAT,(NULL),nOverall,32,2625858779,70755391,82985938,82810886,82761689,82918670,83117226,82640038,82852800,82746093,82754005,83475933,82917375,82765491,82901156,82371532,81865596,82326554,82837646,83236154,82528038,82135019,82476682,81786143,81774696,81813289,81957357,82012685,81661493,81651943,81565291,81784366,81671604
STAT,(NULL),nPop,32,216411537,5746401,6723517,6793789,6897661,6786777,6783657,6814080,6768965,6853797,6848802,6622564,6761100,6784464,6794330,6734106,6852336,6718374,6785587,6658891,6689337,6783206,6674186,6821078,6792534,6829177,6870872,6788012,6906974,6839866,6833521,6926362,6927214
STAT,(NULL),nPush,32,214085843,5771541,6768007,6730379,6709087,6791765,6754524,6762182,6745200,6654229,6760349,6889119,6817868,6767912,6776022,6746025,6623210,6776635,6759001,6886745,6793278,6654717,6793735,6611058,6661252,6667087,6598113,6663571,6612239,6623427,6729181,6591546,6596839
STAT,(NULL),nPushInit,32,2325694,72268,72694,72818,72798,72708,72589,72826,72661,72784,72645,73029,72640,72552,72772,72881,72710,72811,72730,72690,72699,72681,72835,72740,72722,72554,72503,72665,72655,72567,72532,72480,72455
STAT,(NULL),qPopEmpty,32,28743,506,804,566,1056,1042,1266,984,1095,1084,1116,926,1083,984,988,668,848,1296,886,516,1048,1173,832,464,376,1180,824,995,1361,830,112,786,1048
STAT,(NULL),qPopEmptyCyc,32,13256808,261052,385723,294212,478047,474652,559652,469720,516710,489053,516265,448291,495186,449326,456972,325302,405603,558847,412632,250299,472541,507247,382106,217390,176430,527231,388780,466787,570292,397903,55916,380148,466493
STAT,(NULL),qPopFast,32,213030045,5656611,6618460,6687634,6789883,6680731,6677661,6707608,6663198,6746705,6741788,6519084,6655455,6678455,6688167,6628884,6745266,6613398,6679560,6554844,6584814,6677217,6569898,6714497,6686399,6722470,6763513,6681948,6799051,6732991,6726745,6818136,6818974
STAT,(NULL),qPopFastCyc,32,127251761610,4430433892,3931090626,3960587066,4020081530,3958326379,3944548557,3972180469,3943665203,4001710877,4004996076,3874925328,3937586232,3954491035,3961745960,3935132880,4001984142,3919720193,3947650431,3881233191,3909594696,3963126892,3899462378,3970558011,3962038399,3977415031,3994645453,3972334075,4007931501,3984632346,3974030693,4025890153,4028011915
STAT,(NULL),qPopLocal,32,3358659,89787,105054,106151,107775,106043,105994,106469,105764,107090,107012,103477,105642,106006,106161,105219,107067,104974,106024,104044,104520,105987,104283,104294,103843,104403,105083,103802,105621,104630,104502,105939,105999
STAT,(NULL),qPopLocalCyc,32,8951849528,304872273,280194674,284291866,287004175,283565362,280738613,286851868,283241076,288022400,287045580,275804371,277106105,279242145,280959860,283518410,286372470,282499439,281386834,274934394,282856374,287464159,279775334,267987061,266718490,268811455,271066226,273355731,272821626,272226362,269957381,274139786,277017628
STAT,(NULL),qPopRemote,32,22833,3,3,4,3,3,2,3,3,2,2,3,3,3,2,3,3,2,3,3,3,2,5,2287,2292,2304,2276,2262,2302,2245,2274,2287,2241
STAT,(NULL),qPopRemoteCyc,32,80049461,7572,6936,12202,7280,6494,7896,6209,7091,5307,4955,7061,6968,6885,4091,7494,7250,7987,6502,6824,6928,5089,10790,7958051,8021097,8070611,7980970,7966729,8023527,7955258,7998693,8017069,7901645
==== BENCHMARK TOOK 111.774
