prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun4/sssp-capq_clique4000_d4,libc,110,0.0877681779167,23170798970.0,609435789.0,2447926185.0,106228016.0,15154944960.0,17028.0,21027.0,301423.0,4754688695.0,92746752.0,4828573.0,4852264020.0,15996000.0,323420.0,16937.0,16336357.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0911616133333,28879999104.0,1005441640.0,3428215082.0,96433124.0,18931815148.0,17482.0,21481.0,329112.0,5396225808.0,16091251.0,5777051.0,5418094110.0,15996000.0,54221.0,17463.0,16067684.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.08946714875,28343192724.0,868534705.0,3261829388.0,123168083.0,19022971853.0,17274.0,21273.0,321482.0,5027525167.0,33603473.0,5560055.0,5066688695.0,15996000.0,116874.0,17239.0,16130113.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.08006248875,25363796436.0,911861502.0,3493378779.0,121725831.0,15626407730.0,17404.0,21403.0,271138.0,5193694934.0,11137496.0,5590164.0,5210422594.0,15996000.0,39926.0,17392.0,16053318.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0836946766667,26514473568.0,818785052.0,3387519415.0,109128074.0,16877298753.0,17413.0,21412.0,290494.0,5295037371.0,21001585.0,5703318.0,5321742274.0,15996000.0,58884.0,17397.0,16072281.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0903558245833,28624725228.0,885427075.0,3105813213.0,120992272.0,19061521149.0,17200.0,21199.0,325944.0,5429229127.0,16135661.0,5606731.0,5450971519.0,15996000.0,51341.0,17181.0,16064522.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0831764120833,26350287348.0,866981261.0,3205463516.0,142918631.0,16614233774.0,17459.0,21458.0,290294.0,5473555063.0,41650601.0,5484502.0,5520690166.0,15996000.0,143860.0,17417.0,16157277.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0895034433333,28354690848.0,893813455.0,3370040418.0,117417774.0,18753510208.0,17201.0,21200.0,313685.0,5188089161.0,26393296.0,5426536.0,5219908993.0,15996000.0,94838.0,17172.0,16108010.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.0809150233333,25633879392.0,823979766.0,3409090542.0,110524766.0,16475085309.0,17115.0,21114.0,280380.0,4794946200.0,14626357.0,5626452.0,4815199009.0,15996000.0,50745.0,17100.0,16063845.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.104059115,32965927632.0,889738077.0,3139600434.0,111598821.0,23258777186.0,18163.0,22162.0,376211.0,5521213000.0,39102657.0,5897457.0,5566213114.0,15996000.0,128899.0,18127.0,16143026.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,132,0.083208495,26360451216.0,869116367.0,3341109745.0,106982026.0,16802269416.0,17437.0,21436.0,287991.0,5220981619.0,13686877.0,6305166.0,5240973662.0,15996000.0,46203.0,17422.0,16059625.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.0877503016667,32432511496.0,1131156819.0,4690929904.0,133595754.0,20917581598.0,17683.0,21682.0,289616.0,5547980776.0,5177749.0,6088896.0,5559247421.0,15996000.0,15173.0,17676.0,16028849.0,0,0,0,0,0,0,0,0
testrun4/sssp-capq_clique4000_d4,libc,154,0.10526968,38907673728.0,1010552649.0,4447929589.0,128592786.0,27383347144.0,17528.0,21527.0,385787.0,5836526248.0,94566705.0,6158607.0,5937251560.0,15996000.0,265302.0,17457.0,16278759.0,0,0,0,0,0,0,0,0
