prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.694613711667,2.93404831808e+11,33004349777.0,34240244512.0,58315411375.0,4882061334.0,25502611.0,25502612.0,75172.0,50879353853.0,1.07163264757e+11,4920146200.0,1.6296276481e+11,77879758.0,162673832.0,9717751.0,250271341.0,25099304.0,23856629238.0,310817.0,1887224654.0,92491.0,5425309207.0,2944473.0,3597458839.0
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.687437580417,2.90373633968e+11,33168200867.0,34420211850.0,56827912594.0,5194099402.0,24853692.0,24853693.0,85676.0,51275694957.0,1.04421025778e+11,5066488520.0,1.60763209255e+11,77879758.0,154644261.0,9803275.0,242327294.0,24460401.0,23741213804.0,301366.0,2049083079.0,91926.0,4055404363.0,3222128.0,3678877254.0
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.682535998333,2.88303205696e+11,32887170349.0,33778559229.0,56275131360.0,5913871268.0,24960147.0,24960148.0,118318.0,50862893002.0,1.03743975649e+11,4841604839.0,1.5944847349e+11,77879758.0,153154039.0,9467995.0,240501792.0,24564898.0,23454958073.0,310570.0,1923143580.0,84680.0,4236555600.0,3632555.0,4162469318.0
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.69160485125,2.92133889168e+11,33081488181.0,34176113405.0,59217546698.0,5209554261.0,25269575.0,25269576.0,86598.0,50803817175.0,1.04687248411e+11,4958121037.0,1.60449186623e+11,77879758.0,157129999.0,9765303.0,244775060.0,24869340.0,23669276987.0,299299.0,2264148137.0,100937.0,6384226715.0,3222187.0,3748283315.0
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.711091585,3.00365085504e+11,33958727223.0,34821863571.0,60327733592.0,4996881578.0,25472417.0,25472418.0,76213.0,50871569075.0,1.10527338759e+11,4860971706.0,1.6625987954e+11,77879758.0,163093250.0,9497829.0,250470837.0,25069012.0,24308772437.0,315008.0,2182637039.0,88398.0,6215482761.0,2980351.0,3557064597.0
testrun3/sssp-obim_ljournal-2008_d4,libc,176,0.683912166667,2.888844992e+11,32769770082.0,33808719203.0,57528535842.0,4424789256.0,25227661.0,25227662.0,70477.0,50779771112.0,1.04612344217e+11,4960569488.0,1.60352684817e+11,77879758.0,158441755.0,9809623.0,246131136.0,24828159.0,23488068370.0,304788.0,2042690509.0,94715.0,5305895694.0,2741761.0,3182848638.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.6269063025,2.64805222176e+11,40694376284.0,47189579580.0,58511289817.0,13301720559.0,25297538.0,25297545.0,174908.0,83047837542.0,16196891253.0,5863527141.0,1.05108255936e+11,119999788.0,23968427.0,13308388.0,157276603.0,24411736.0,22959008607.0,219091.0,735207813.0,666718.0,2395623062.0,11234288.0,12226822881.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.6273775125,2.6500426128e+11,40274160309.0,46757277686.0,57162635307.0,17202105271.0,25057087.0,25057094.0,228232.0,83257022419.0,14548049278.0,5803011010.0,1.03608082707e+11,119999788.0,21934424.0,13237029.0,155171241.0,24187187.0,22655557223.0,218923.0,731037782.0,650984.0,2335375203.0,13298514.0,14472642878.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.64263433375,2.71448742576e+11,40764377999.0,47323402121.0,58829191994.0,19043097648.0,25247106.0,25247114.0,232231.0,83164765563.0,16472443709.0,5851463542.0,1.05488672814e+11,119999788.0,23967440.0,13258010.0,157225238.0,24366148.0,22986974302.0,219592.0,729478514.0,661374.0,2393929929.0,14974676.0,16395600011.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.625414326667,2.64175011584e+11,40247302051.0,46842620841.0,57998800247.0,13716103394.0,25458913.0,25458920.0,188663.0,82185142801.0,17363064168.0,5821978082.0,1.05370185051e+11,119999788.0,25919173.0,13308202.0,159227163.0,24568093.0,22855421104.0,218683.0,731627553.0,672144.0,2376662236.0,11552945.0,12307934501.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.63013376125,2.66168500752e+11,40207086055.0,47035147608.0,58280493330.0,16341667038.0,25218231.0,25218237.0,219061.0,83099803077.0,15349692313.0,5854611331.0,1.04304106721e+11,119999788.0,22868223.0,13320914.0,156188925.0,24337840.0,22821856804.0,218820.0,731166067.0,661577.0,2368957387.0,13441992.0,14393633031.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.630748839583,2.6642830984e+11,40610766395.0,46997813076.0,58448098712.0,15492532372.0,25310422.0,25310430.0,232485.0,82660010663.0,16374042382.0,5845046240.0,1.04879099285e+11,119999788.0,24263466.0,13296669.0,157559923.0,24423199.0,22832304025.0,218985.0,729386984.0,668246.0,2386281160.0,12821544.0,13870919139.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.644984606667,2.72441497856e+11,41145529276.0,47915271282.0,59251415669.0,17630363242.0,25343303.0,25343309.0,226587.0,84150325447.0,16422531273.0,5926061667.0,1.06498918387e+11,119999788.0,24138449.0,13340104.0,157478341.0,24458716.0,23269466701.0,221359.0,746408883.0,663234.0,2421623668.0,13675405.0,15241082214.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.635189220833,2.6830392688e+11,40779726064.0,47438011605.0,59940155821.0,14225707364.0,25408685.0,25408692.0,191729.0,83242739616.0,16816700862.0,5860885548.0,1.05920326026e+11,119999788.0,25114649.0,13323862.0,158438299.0,24517985.0,23063923817.0,221024.0,736804626.0,669683.0,2405652455.0,12412261.0,13685288987.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.650011515,2.74564863936e+11,39881828325.0,48117058159.0,59484891043.0,19827241855.0,25400815.0,25400822.0,272185.0,84000009805.0,17366219009.0,5887615740.0,1.07253844554e+11,119999788.0,25552914.0,13279431.0,158832133.0,24510266.0,23308317626.0,221084.0,736596065.0,669472.0,2433627314.0,15305387.0,16833020619.0
testrun3/sssp-obim_planar10M_d4,libc,176,0.636493824583,2.68854991504e+11,40667591170.0,47300160231.0,58868864976.0,16705217735.0,25250344.0,25250350.0,221233.0,83375397291.0,16068889378.0,5868870723.0,1.05313157392e+11,119999788.0,23543209.0,13297296.0,156840293.0,24370535.0,23019822050.0,219366.0,736919229.0,660449.0,2396459810.0,13532964.0,14689973423.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.35978374792,1.84157265512e+12,2.17990833694e+11,1.15153242072e+11,2.0204710973e+11,81717384094.0,99071248.0,100072309.0,2060359.0,9.25464296764e+11,2.67373094054e+11,31826694712.0,1.22466408553e+12,1414798477.0,395589995.0,59187460.0,1869575932.0,98504678.0,91410632160.0,1502956.0,5852302930.0,64675.0,1679591245.0,52500640.0,56044017102.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.30757363375,1.8195191029e+12,1.90013316792e+11,1.15386063516e+11,2.00544363518e+11,85956233437.0,99004242.0,100005303.0,2724673.0,9.26977130715e+11,2.69123528036e+11,31518466882.0,1.22761912563e+12,1414798477.0,395958476.0,59136192.0,1869893145.0,98438774.0,90635712414.0,1499997.0,5829465940.0,66532.0,1893192589.0,55117751.0,58397159564.0
testrun3/sssp-obim_twitter40_d4,libc,176,4.228537955,1.78613443219e+12,1.8904930329e+11,1.13655286251e+11,1.98104942915e+11,75143002012.0,98585694.0,99586755.0,2509218.0,9.20865125408e+11,2.5797100616e+11,31345766156.0,1.21018189772e+12,1414798477.0,382917501.0,58975481.0,1856691459.0,98026618.0,89759185210.0,1498403.0,5689749443.0,61734.0,1540983935.0,47119490.0,50977134108.0
